user,platform,tunnel_in,tunnel_out,amount,type1,ip,type2,ip_3,tm_diff
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,19d44f1a51919482,9a521575f39ab986,11a213398ee0c623,18f32d48945accab,2065662
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,45a1168437c708ff,ip_nan,11a213398ee0c623,ip_3_nan,1645771
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,267542,45a1168437c708ff,ip_nan,11a213398ee0c623,ip_3_nan,1645771
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,27740,674e8d5860bc033d,bbe3486023bafd7d,11a213398ee0c623,edb4bdbd9f943d69,1627246
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,51228,674e8d5860bc033d,bbe3486023bafd7d,11a213398ee0c623,edb4bdbd9f943d69,1627246
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,674e8d5860bc033d,9a521575f39ab986,11a213398ee0c623,18f32d48945accab,1169773
0,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,27740,674e8d5860bc033d,9a521575f39ab986,11a213398ee0c623,18f32d48945accab,1169819
0,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,36689,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,2478067
0,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,25741,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,1627342
0,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,25449,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,1627281
0,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,24798,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,1169779
0,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,30746,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,1170099
0,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,36689,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,1170117
1,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,36098,674e8d5860bc033d,ef95ba3c65e8c857,11a213398ee0c623,5f9460ac44bd01d8,1821027
1,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,36098,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,289554
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,162423,19d44f1a51919482,f0050c75d4b0f69f,11a213398ee0c623,19324a68c172489e,675862
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,108879,674e8d5860bc033d,5df45dc39c7f53ae,11a213398ee0c623,d2e35998702e1e89,2665333
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,25315,674e8d5860bc033d,ip_nan,11a213398ee0c623,ip_3_nan,2665333
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,42553,674e8d5860bc033d,5df45dc39c7f53ae,11a213398ee0c623,d2e35998702e1e89,2665418
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,42553,674e8d5860bc033d,572f22b2c91c144c,11a213398ee0c623,2ea9b648ca9a5377,575055
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,136134,674e8d5860bc033d,572f22b2c91c144c,11a213398ee0c623,2ea9b648ca9a5377,575019
2,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,42553,674e8d5860bc033d,572f22b2c91c144c,11a213398ee0c623,2ea9b648ca9a5377,575103
2,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,26075,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,2665361
2,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,24980,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,2665430
2,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,24980,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,575120
2,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,26530,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,575034
2,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,24980,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,575067
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,36689,0a3cf8dac7dca9d1,dc568619d77a6320,11a213398ee0c623,42ff18e6a370c808,834552
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,188880,3146295fbf43c0cb,ip_nan,11a213398ee0c623,ip_3_nan,2544589
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,443b0fd0860c21b6,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2563598
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,188364,443b0fd0860c21b6,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2543972
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,25315,443b0fd0860c21b6,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2544042
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,27740,674e8d5860bc033d,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2562619
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,39630,674e8d5860bc033d,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2562619
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,674e8d5860bc033d,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2563665
3,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,36689,674e8d5860bc033d,698bcaf2f1664eb8,11a213398ee0c623,a372ce61d9089c6d,2563665
3,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,36689,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,2563562
3,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,36689,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,830115
4,42573d7287a8c9c2,tunnel_in_nan,6ee790756007e69a,36689,f67d4b5a05a1352a,ip_nan,type2_nan,ip_3_nan,2014022
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,39630,19d44f1a51919482,cc855e044a2c612a,11a213398ee0c623,0249d31f8aff6864,2151521
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,19d44f1a51919482,5f34187834f5cf3f,11a213398ee0c623,6d72a53540582063,1443717
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,39630,19d44f1a51919482,b3da867a14eb83a8,11a213398ee0c623,bf6f2c09e5c93733,1720246
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,28969,19d44f1a51919482,27687f27c65f2ec2,11a213398ee0c623,dbeb2cdc04b92500,2670829
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,35483,19d44f1a51919482,27687f27c65f2ec2,11a213398ee0c623,dbeb2cdc04b92500,2670829
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,39630,19d44f1a51919482,8bca4e8d5565d774,11a213398ee0c623,65b61575bf1ecdad,941757
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,39630,19d44f1a51919482,aeaffbccf50b1aa8,11a213398ee0c623,a7a37900e5c150ca,809918
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,42553,19d44f1a51919482,3e82ef49e13bb62b,11a213398ee0c623,bf6f2c09e5c93733,508281
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,42553,19d44f1a51919482,3e82ef49e13bb62b,11a213398ee0c623,bf6f2c09e5c93733,508361
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,68239,19d44f1a51919482,36b67ab74d4f5b45,11a213398ee0c623,cd790e9dd61559e5,1115539
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,36689,19d44f1a51919482,5f34187834f5cf3f,11a213398ee0c623,6d72a53540582063,1545785
5,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,42553,19d44f1a51919482,5f34187834f5cf3f,11a213398ee0c623,6d72a53540582063,1545785
